OTHERNAME,RSTAR,MASS,STAR,COMP,star,R,A,texture,,,,,,,day,PER,I
,rsun,mearth,,,,rjupiter,au,,,,,,,,,yrs,deg
2MASS J01375356-6030414,1.10851,65.4807099,HD 10180,h,0,,3.42452,textures/earth.jpg,-,-,-,-,-,-,,6.154820023,
,1.19859,95.08659852,HD 101930,b,0,,0.302019,textures/earth.jpg,-,-,-,-,-,-,,0.192913084,
,1.13334,53.95127669,HD 102117,b,0,,0.152077,textures/earth.jpg,-,-,-,-,-,-,,0.056984927,
,0.937994,143.9070438,HD 102195,b,0,,0.0479747,textures/earth.jpg,-,-,-,-,-,-,,0.011263143,
,12.7057,1305.9021,HD 102272,b,0,,0.512595,textures/earth.jpg,-,-,-,-,-,-,,0.349302464,
2MASS J11464664+0328273,7.27206,1423.208211,HD 102329,b,0,,1.80892,textures/earth.jpg,-,-,-,-,-,-,,2.130367197,
2MASS J11463107-4030013,0.828702,16.20146453,HD 102365,b,0,,0.463328,textures/earth.jpg,-,-,-,-,-,-,,0.334298721,
2MASS J11512253+5738267,3.42909,302.4015523,HD 102956,b,0,,0.0810025,textures/earth.jpg,-,-,-,-,-,-,,0.017782173,
2MASS J11525298-5017342,1.01561,31.22328914,HD 103197,b,0,,0.249018,textures/earth.jpg,-,-,-,-,-,-,,0.130981579,
2MASS J11590999-2021129,0.858425,59.09323165,HD 104067,b,0,,0.264333,textures/earth.jpg,-,-,-,-,-,-,,0.152791764,
2MASS J12051510+7654205,7.09522,1562.831405,HD 104985,b,0,,0.678014,textures/earth.jpg,-,-,-,-,-,-,,0.546226587,
,1.12257,2211.727115,HD 106252,b,0,,2.61147,textures/earth.jpg,-,-,-,-,-,-,,4.191739081,
2MASS J12133728-0930482,2.66147,3523.600989,HD 106270,b,0,,4.37827,textures/earth.jpg,-,-,-,-,-,-,,7.912557769,
,1.18569,293.9921248,HD 10647,b,0,,2.02175,textures/earth.jpg,-,-,-,-,-,-,,2.746122991,
109 Psc,1.54131,1981.602463,HD 10697,b,0,,2.13177,textures/earth.jpg,-,-,-,-,-,-,,2.943800039,
,1.04161,67.43146826,HD 107148,b,0,,0.270013,textures/earth.jpg,-,-,-,-,-,-,,0.131572968,
,1.29703,81.99636793,HD 108147,b,0,,0.101407,textures/earth.jpg,-,-,-,-,-,-,,0.029839104,
2MASS J12301991+2156537,7.27656,878.9917586,HD 108863,b,0,,1.45325,textures/earth.jpg,-,-,-,-,-,-,,1.213988967,
,1.12115,410.0469921,HD 108874,b,0,,1.03527,textures/earth.jpg,-,-,-,-,-,-,,1.080053841,
,1.12115,326.8330687,HD 108874,c,0,,2.72021,textures/earth.jpg,-,-,-,-,-,-,,4.60073755,
2MASS J12320721+7429223,1.00892,244.110172,HD 109246,b,0,,0.328074,textures/earth.jpg,-,-,-,-,-,-,,0.186917065,
,1.10733,87.29468866,HD 109749,b,0,,0.0629198,textures/earth.jpg,-,-,-,-,-,-,,0.014346645,
,0.874998,2174.444048,HD 111232,b,0,,1.97489,textures/earth.jpg,-,-,-,-,-,-,,3.129430287,
,0.637212,433.406513,HD 114386,b,0,,1.72685,textures/earth.jpg,-,-,-,-,-,-,,2.567337543,
,1.46377,300.2597862,HD 114729,b,0,,2.10235,textures/earth.jpg,-,-,-,-,-,-,,3.050030919,
,0.859205,3697.828056,HD 114762,b,0,,0.362932,textures/earth.jpg,-,-,-,-,-,-,,0.22975193,
,0.837785,351.2032465,HD 114783,b,0,,1.15987,textures/earth.jpg,-,-,-,-,-,-,,1.351705803,
,1.26275,1504.76631,HD 11506,b,0,,2.60488,textures/earth.jpg,-,-,-,-,-,-,,3.846762514,
2MASS J13203954+2438555,5.04235,606.2351863,HD 116029,b,0,,1.64869,textures/earth.jpg,-,-,-,-,-,-,,1.834399206,
,0.951872,578.0766345,HD 117207,b,0,,3.73753,textures/earth.jpg,-,-,-,-,-,-,,7.110350355,
,1.16537,56.14294004,HD 117618,b,0,,0.174852,textures/earth.jpg,-,-,-,-,-,-,,0.070711983,
,2.14975,678.9293798,HD 118203,b,0,,0.0702997,textures/earth.jpg,-,-,-,-,-,-,,0.016792966,
,1.76025,193.2661883,HD 11964,b,0,,3.1288,textures/earth.jpg,-,-,-,-,-,-,,5.324110426,
,1.76025,24.49377664,HD 11964,c,0,,0.226601,textures/earth.jpg,-,-,-,-,-,-,,0.103794836,
,8.14661,2351.881063,HD 11977,b,0,,2.063,textures/earth.jpg,-,-,-,-,-,-,,1.946653486,
2MASS J13423920+7803521,10.9537,1422.928533,HD 120084,b,0,,4.26892,textures/earth.jpg,-,-,-,-,-,-,,5.700327085,
,0.844267,388.4672441,HD 121504,b,0,,0.328688,textures/earth.jpg,-,-,-,-,-,-,,0.173391799,
GJ 3021,0.858011,1072.5675,HD 1237,b,0,,0.494668,textures/earth.jpg,-,-,-,-,-,-,,0.366085875,
2MASS J14212322-4023382,1.03336,13.24545222,HD 125595,b,0,,0.0809437,textures/earth.jpg,-,-,-,-,-,-,,0.026485713,
,1.0426,975.0772547,HD 125612,b,0,,1.3728,textures/earth.jpg,-,-,-,-,-,-,,1.531599775,
,1.0426,18.45456183,HD 125612,c,0,,0.0522124,textures/earth.jpg,-,-,-,-,-,-,,0.011375301,
,1.06782,743.945124,HD 12661,b,0,,0.838172,textures/earth.jpg,-,-,-,-,-,-,,0.719272337,
,1.06782,619.3292307,HD 12661,c,0,,2.91927,textures/earth.jpg,-,-,-,-,-,-,,4.676023757,
,1.10978,122.5837739,HD 126614 A,b,0,,2.36847,textures/earth.jpg,-,-,-,-,-,-,,3.405959123,
,0.58322,463.1223662,HD 128311,b,0,,1.08649,textures/earth.jpg,-,-,-,-,-,-,,1.243558387,
,0.58322,1032.420906,HD 128311,c,0,,1.74533,textures/earth.jpg,-,-,-,-,-,-,,2.529280577,
,0.986573,331.5113292,HD 130322,b,0,,0.0896052,textures/earth.jpg,-,-,-,-,-,-,,0.029318901,
2MASS J14532303+1814074,4.56407,712.2746987,HD 131496,b,0,,2.1121,textures/earth.jpg,-,-,-,-,-,-,,2.417573879,
,1.06217,5825.006418,HD 131664,b,0,,3.17098,textures/earth.jpg,-,-,-,-,-,-,,5.341660972,
,32.3233,2263.909425,HD 13189,b,0,,1.25186,textures/earth.jpg,-,-,-,-,-,-,,1.291198008,
,,1781.346216,HD 132406,b,0,,1.98227,textures/earth.jpg,-,-,-,-,-,-,,2.666723622,
,,474.3317581,HD 132563 B,b,0,,2.62431,textures/earth.jpg,-,-,-,-,-,-,,4.227331902,
,1.16572,496.8967375,HD 134987,b,0,,0.807929,textures/earth.jpg,-,-,-,-,-,-,,0.706873413,
,1.16572,255.8188538,HD 134987,c,0,,5.82513,textures/earth.jpg,-,-,-,-,-,-,,13.68954631,
,1.75082,3712.384056,HD 136118,b,0,,2.33328,textures/earth.jpg,-,-,-,-,-,-,,3.250719668,
,3.83357,633.5674149,HD 136418,b,0,,1.29111,textures/earth.jpg,-,-,-,-,-,-,,1.271211271,
2MASS J15353994-8012164,0.97784,72.40370915,HD 137388,b,0,,0.88883,textures/earth.jpg,-,-,-,-,-,-,,0.903510057,
,1.22417,597.8861439,HD 13931,b,0,,5.14931,textures/earth.jpg,-,-,-,-,-,-,,11.54850127,
,7.76389,3202.129487,HD 139357,b,0,,2.34618,textures/earth.jpg,-,-,-,-,-,-,,3.082064457,
,1.06384,3011.375957,HD 141937,b,0,,1.50087,textures/earth.jpg,-,-,-,-,-,-,,1.788457006,
2MASS J00061921-4904307,1.5121,414.9731495,HD 142,b,0,,1.04292,textures/earth.jpg,-,-,-,-,-,-,,0.959089615,
,1.09856,1419.88385,HD 142022,b,0,,2.93163,textures/earth.jpg,-,-,-,-,-,-,,5.278689059,
2MASS J15525629+1525507,4.51552,600.7941659,HD 142245,b,0,,2.77628,textures/earth.jpg,-,-,-,-,-,-,,3.556544132,
