# name, mass,, mass_error, radius, radius_error, period, period_error, axis, axis_error, eccentricity, eccentricity_error, inclination, inclination_error, angular_distance, omega, omega_error, tperi, tperi_error, tconj, tconj_error, tzero_tr, tzero_tr_error, tzero_tr_sec, tzero_tr_sec_error, lambda_angle, lambda_angle_error, tzero_vr, tzero_vr_error, temp_calculated, temp_measured, hot_point_lon, log_g, detection_type, molecules, star.name, ra, dec, star.magnitude_v, star.magnitude_i, star.magnitude_j, star.magnitude_h, star.magnitude_k, star.distance, star.metallicity, star.mass, star.radius, star.spec_type, star.age, star.teff
Kepler-63-b,,0,[],0.545,[0.02],9.4341505,[1e-06],0.08,[0.002],,[],87.806,"[0.018, 0.019]",,,[],,[],,[],,[],,,,,,,,,,,detected by transit,,TYC 3550-458-1,16:54.0,+49:32:54,12.02,,,,,200,0.05,0.984,0.901,,,5576
Kepler-65 b,,0,[],0.127,[0.003],2.15491,[],0.035,"[0.002, 0.001]",,[],,[],,,[],,[],,[],,[],,,,,,,,,,,detected by transit,,Kepler-65,14:45.0,+41:09:04,11.6,,,,,,0.17,1.25,1.41,B,2.9,6211
Kepler-65 c,,0,[],0.23,[0.005],5.859944,[],0.068,"[0.004, 0.002]",,[],,[],,,[],,[],,[],,[],,,,,,,,,,,detected by transit,,Kepler-65,14:45.0,+41:09:04,11.6,,,,,,0.17,1.25,1.41,B,2.9,6211
Kepler-65 d,,0,[],0.135,[0.004],8.13123,[],0.084,"[0.006, 0.002]",,[],,[],,,[],,[],,[],,[],,,,,,,,,,,detected by transit,,Kepler-65,14:45.0,+41:09:04,11.6,,,,,,0.17,1.25,1.41,B,2.9,6211
Kepler-66 b,0.31,98.549,[0.07],0.25,[0.006],17.815815,[7.5e-05],0.1352,[0.0017],,[],,[],,,[],,[],,[],2454967.485,[0.0025],,,,,,,,,,,detected by transit,,Kepler-66,35:56.0,+46:41:16,15.3,,,,,1107,0.012,1.038,0.966,GOV,1,5962
Kepler-67 b,0.31,98.549,[0.06],0.26,[0.014],15.7259,[0.00011],0.1171,[0.0015],,[],,[],,,[],,[],,[],2454966.986,[0.0048],,,,,,,,,,,detected by transit,,Kepler-67,36:37.0,+46:09:59,16.4,,,,,1107,0.012,0.865,0.778,G9V,1,5331
Kepler-68 b,0.026,8.2654,[0.008],0.196,[0.007],5.398763,[4e-06],0.0617,[0.00056],0,[],87.6,[0.9],,,[],,[],,[],2455006.857,[0.00042],,,,,,,,,,,detected by transit,,Kepler-68,24:08.0,+49:02:25,,,,,,135,0.12,1.079,1.243,,6.3,5793
Kepler-68 c,0.015,4.7685,"[0.008, 0.011]",0.081,[0.003],9.605065,[7.2e-05],0.09059,[0.00082],,[],86.93,[0.41],,,[],,[],,[],2454969.381,[0.0041],,,,,,,,,,,detected by transit,,Kepler-68,24:08.0,+49:02:25,,,,,,135,0.12,1.079,1.243,,6.3,5793
Kepler-68 d,0.947,301.0513,[0.035],,[],580,[15.0],1.4,[0.03],0.18,[0.05],,[],,,[],,[],,[],,[],,,,,,,,,,,detected by radial velocity,,Kepler-68,24:08.0,+49:02:25,,,,,,135,0.12,1.079,1.243,,6.3,5793
Kepler-69 b,,0,[],0.2,"[0.039, 0.026]",13.722341,[3.6e-05],0.094,"[0.023, 0.016]",,[],89.62,"[0.26, 0.45]",,,[],,[],,[],2454970.841,[0.0016],,,,,,,,,,,detected by transit,,Kepler-69,33:03.0,+44:52:08,13.7,,,,,,-0.29,0.81,0.93,G4V,,5638
Kepler-69 c,,0,[],0.153,"[0.03, 0.021]",242.4613,"[0.0059, 0.0064]",0.64,"[0.15, 0.11]",,[],89.85,"[0.03, 0.08]",,,[],,[],,[],24544983.87,[0.016],,,,,,,,,,,detected by transit,,Kepler-69,33:03.0,+44:52:08,13.7,,,,,,-0.29,0.81,0.93,G4V,,5638
Kepler-7 b,0.433,137.6507,"[0.041, 0.042]",1.614,[0.015],4.885525,[4e-05],0.06246,[0.00046],0.1,[0.1],85.18,[0.076],,357.1,"[2.8, 2.8]",,,,,2454967.276,[0.0002],,,,,,,,,,,detected by transit,,Kepler-7,14:20.0,+41:05:23,,,,,,,0.11,1.36,2.02,,3.5,5933
Kepler-71 b,,0,[],1.0452,[0.5],3.905081,[7.2e-05],0.047,[],0,[],89.95,[],,,[],,[],,[],,[],,[],,[],,,,,,,detected by transit,,Kepler-71,39:27.7,+46:17:09,15.386,,,,,,-0.2,0.923,0.816,,,5591
Kepler-74 b,0.68,216.172,[0.09],1.32,[0.14],7.340718,[1e-06],0.084,[0.014],0.287,[0.062],85.55,[0.96],,64,[21.0],2454967.04,"[0.21, 0.34]",,[],2454967.345,[0.0003],,[],,[],,,,,,,detected by transit,,Kepler-74,32:22.0,+41:21:20,14.23,,,,,1330,0.34,1.4,1.51,F8V,2.9,6050
Kepler-75 b,9.9,3147.21,[0.5],1.03,[0.06],8.884924,[2e-06],0.08,[0.05],0.569,[0.01],89.1,"[0.6, 1.0]",,63.6,[1.4],2455002.841,[0.011],,[],2455002.991,[0.0002],,[],,[],,,,,,,detected by transit,,Kepler-75,24:33.0,+36:34:39,15,,,,,1140,-0.07,0.88,0.88,G8V,6,5330
Kepler-76 b,1.96,623.084,[0.25],1.25,[0.08],1.54492875,[2.7e-07],0.028,[0.003],,[],78,[0.2],,,[],,[],,[],2454966.548,[7e-05],,,,,,,,,,,detected by transit,,Kepler-76,36:46.0,+39:37:08,14,,,,,,-0.1,1.2,1.12,,,6300
Kepler-77 b,0.43,136.697,[0.032],0.96,[0.016],3.5787087,[2.3e-07],0.04501,[0.00063],0,[],88,[0.11],,,[],,[],,[],2455095.866,[2.9e-05],,[],,[],,,,,,,detected by transit,,Kepler-77,18:25.9,+44:20:44,15,,,,,570,0.2,0.95,0.99,G5V,7.5,5520
Kepler-78 b,0.025,7.9475,"[0.0, 0.025]",0.101,"[0.021, 0.017]",0.35500745,[8e-08],0.01,"[0.011, 0.0025]",,[],81,"[6.0, 9.0]",,,[],,[],,[],2454953.96,[0.00015],,[],,[],,,2330,,,,detected by transit,,Kepler-78,34:58.0,+44:26:54,12,,,,,,-0.08,0.84,0.73,G,,5143
Kepler-79 b,,0,[],0.2948,[0.098],13.484697,[5.1e-05],0.117,[],,[],84.8,[],,,[],,[],,[],,[],,[],,[],,,868,,,,detected by transit,,Kepler-79,02:04.1,+44:22:54,14.11,,,,,,,1.165,1.302,,3.44,6174
Kepler-79 c,0.0186,5.91294,[0.006],0.333,[0.098],27.4029,[0.0008],0.187,[0.003],0.03,"[0.027, 0.021]",89.48,[0.09],,,[],,[],,[],,[],,[],,[],,,685,,,,detected by transit,,Kepler-79,02:04.1,+44:22:54,14.11,,,,,,,1.165,1.302,,3.44,6174
Kepler-79 d,0.0189,6.00831,[0.007],0.64,[0.012],52.0902,[0.001],0.287,[0.004],0.025,"[0.059, 0.023]",89.93,"[0.07, 0.03]",,,[],,[],,[],,[],,[],,[],,,553,,,,detected by transit,,Kepler-79,02:04.1,+44:22:54,14.11,,,,,,,1.165,1.302,,3.44,6174
Kepler-79 e,0.0129,4.10091,[0.003],0.312,[0.1],81.0659,[0.0013],0.386,[0.005],0.012,"[0.044, 0.005]",89.13,[0.02],,,[],,[],,[],,[],,[],,[],,,477,,,,detected by transit,,Kepler-79,02:04.1,+44:22:54,14.11,,,,,,,1.165,1.302,,3.44,6174
Kepler-8 b,0.603,191.6937,"[0.19, 0.13]",1.419,"[0.058, 0.058]",3.52254,"[5e-05, 5e-05]",0.0483,"[0.0012, 0.0012]",0,[],84.07,[0.33],3.60E-05,,[],,[],,[],2454954.118,"[0.0004, 0.0004]",,,,,,,,,,,detected by transit,,Kepler-8,45:09.0,+42:27:04,13.9,,,,,1330,-0.055,1.213,1.486,,3.84,6213
Kepler-80 b,,0,[],0.21,[],7.05,[],,[],,[],,[],,,[],,[],,[],,[],,[],,[],,,,,,,detected by transit,,Kepler-80,44:27.0,+39:58:44,15,,,,,,-0.56,,0.738,,,4250
Kepler-80 c,,0,[],0.23,[],9.52,[],,[],,[],,[],,,[],,[],,[],,[],,[],,[],,,,,,,detected by transit,,Kepler-80,44:27.0,+39:58:44,15,,,,,,-0.56,,0.738,,,4250
Kepler-80 d,,0,[],0.125,[],3.07,[],,[],,[],,[],,,[],,[],,[],,[],,[],,[],,,,,,,detected by transit,,Kepler-80,44:27.0,+39:58:44,15,,,,,,-0.56,,0.738,,,4250
Kepler-80 e,,0,[],0.134,[],4.64,[],,[],,[],,[],,,[],,[],,[],,[],,[],,[],,,,,,,detected by transit,,Kepler-80,44:27.0,+39:58:44,15,,,,,,-0.56,,0.738,,,4250
Kepler-80 f,,0,[],0.116,[],0.99,[],,[],,[],,[],,,[],,[],,[],,[],,[],,[],,,,,,,detected by transit,,Kepler-80,44:27.0,+39:58:44,15,,,,,,-0.56,,0.738,,,4250
Kepler-81 b,,0,[],0.2269,[0.017],5.954893,[1.1e-05],0.056,[],0,[],85.94,[],,,[],,[],,[],,[],,[],,[],,,646,,,,detected by transit,,Kepler-81,34:32.9,+42:49:30,15.563,,,,,,-0.2,0.648,0.578,,,4391
Kepler-81 c,,0,[],0.2188,[0.017],12.039901,[3.5e-05],0.089,[],0,[],87.66,[],,,[],,[],,[],,[],,[],,[],,,513,,,,detected by transit,,Kepler-81,34:32.9,+42:49:30,15.563,,,,,,-0.2,0.648,0.578,,,4391
Kepler-82 b,,0,[],0.3573,[0.161],26.44288,[0.00013],0.169,[],0,[],89.38,[],,,[],,[],,[],,[],,[],,[],,,581,,,,detected by transit,,Kepler-82 ,31:29.6,+42:57:58,15.437,,,,,,,,,,,5500
Kepler-82 c,,0,[],0.4734,[0.214],51.53005,[0.00018],0.264,[],0,[],89.95,[],,,[],,[],,[],,[],,[],,[],,,464,,,,detected by transit,,Kepler-82 ,31:29.6,+42:57:58,15.437,,,,,,,,,,,5500
Kepler-83 b,,0,[],0.209,[0.19],9.770513,[4.7e-05],0.078,[],0,[],88.24,[],,,[],,[],,[],,[],,[],,[],,,,,,,detected by transit,,Kepler-83,48:55.8,+43:39:56,16.511,,,,,,-0.2,0.664,0.539,,,4164
Kepler-83 c,,0,[],0.1733,[0.21],20.08976,[0.00021],0.126,[],0,[],88.81,[],,,[],,[],,[],,[],,[],,[],,,,,,,detected by transit,,Kepler-83,48:55.8,+43:39:56,16.511,,,,,,-0.2,0.664,0.539,,,4164
Kepler-84 b,,0,[],0.1965,[0.009],8.725854,[6e-05],0.083,[],0,[],88.24,[],,,[],,[],,[],,[],,[],,[],,,937,,,,detected by transit,,Kepler-84,53:00.5,+40:29:46,15.032,,,,,,-0.2,1.022,1.035,,,6015
Kepler-84 c,,0,[],0.2144,[0.098],12.882525,[9.3e-05],0.108,[],0,[],88.24,[],,,[],,[],,[],,[],,[],,[],,,821,,,,detected by transit,,Kepler-84,53:00.5,+40:29:46,15.032,,,,,,-0.2,1.022,1.035,,,6015
Kepler-85 b,0.0465,14.78235,[],0.178,[],8.305992,[],0.07891,[],,[],,[],,,[],,[],,[],2454972.717,[],,[],,[],,,,,,,detected by transit,,Kepler-85,23:54.0,+45:17:25,15,,,,,,,0.95,0.84,,,5666
Kepler-85 c,0.059,18.7561,[],0.197,[],12.51217,[],0.10369,[],,[],,[],,,[],,[],,[],2454972.456,[],,[],,[],,,,,,,detected by transit,,Kepler-85,23:54.0,+45:17:25,15,,,,,,,0.95,0.84,,,5666
Kepler-86 b,,0,[],0.905,[0.05],282.5255,[0.001],0.828,[0.009],0.41,"[0.08, 0.29]",89.83,[0.03],,3.4,"[54.0, 3.4]",,[],,[],2455195.579,[],,[],,[],,,281,,,,detected by transit,,KIC 12735740,19:03.0,+51:57:45,,,,,,,-0.079,0.94,1,,,5629
Kepler-87 b,1.02,324.258,[0.16],1.21,[0.006],114.73709,[0.00026],0.471,[0.028],0.036,[0.009],89.274,[0.034],,238.6,[27.6],,[],,[],,[],,[],,[],,,478.1,,,,detected by transit,,KOI-1574,51:40.0,+46:57:54,15,,,,,,-0.17,1.1,1.82,,7.5,5600
Kepler-87 c,0.0201,6.38979,[0.01],0.549,[0.008],192.363,[0.0074],0.664,[0.013],0.039,[0.012],89.588,[0.031],,223.2,[18.8],,[],,[],,[],,[],,[],,,403.3,,,,detected by transit,,KOI-1574,51:40.0,+46:57:54,15,,,,,,-0.17,1.1,1.82,,7.5,5600
Kepler-9 b,0.252,80.1108,[0.013],0.842,[0.069],19.243158,[9.8e-05],0.14,[0.001],,[],88.55,[0.25],,,[],,[],,[],5073.43381,[0.00052],,,,,,,,,,,detected by transit,,Kepler-9,02:18.0,+38:24:03,13.9,,,,,,0.17,1,1.1,,3,5722
Kepler-9 c,0.171,54.3609,[0.013],0.823,[0.067],38.90861,[0.000738],0.225,[0.001],,,88.12,[0.17],,,,,,,,5164.18301,[0.00074],,,,,,,,,,,detected by transit,,Kepler-9,02:18.0,+38:24:03,13.9,,,,,,0.17,1,1.1,,3,5722
Kepler-9 d,0.022,6.9938,"[inf, inf]",0.147,"[0.013, 0.013]",1.592851,[4.5e-05],0.0273,[0.00043],,,,,,,,,,,,2455015.094,"[0.0033, 0.0033]",,,,,,,,,,,detected by transit,,Kepler-9,02:18.0,+38:24:03,13.9,,,,,,0.17,1,1.1,,3,5722
LKCA 15 b,6,1907.4,[1.0],,,40000,[0.0],15.7,[2.1],,,,,0.108276,,,,,,,,,,,,,,,,,,,detected by imaging,,LKCA 15,39:18.0,+22:21:03,11.91,,,,,145,,0.97,,K5V,0.002,
MOA-2007-BLG-192-L b,0.01,3.179,"[0.005, 0.015]",,,,,0.66,"[0.14, 0.14]",,,,,0.000943,,,,,,,,,,,,,,,,,,,detected by microlensing,,MOA-2007-BLG-192-L,08:04.0,-27:09:00,,19.81,19.6,,,700,,0.06,,M,,
MOA-2007-BLG-400-L b,0.9,286.11,[0.4],,,,,0.85,[0.25],,,,,0.000142,,,,,,,,,,,,,,,,,,,detected by microlensing,,MOA-2007-BLG-400-L,09:42.0,-29:13:27,,,,,,6000,,0.35,,,,
MOA-2008-BLG-310-L b,0.23,73.117,[0.05],,,,,1.25,[0.1],,,,,0.000208,,,,,,,,,,,,,,,,,,,detected by microlensing,,MOA-2008-BLG-310-L,54:14.0,-34:46:41,,,,23.38,,6000,,0.67,,,,
MOA-2009-BLG-266L b,0.0327,10.39533,[0.005],,,2780,"[500.0, 500.0]",3.2,"[0.5, 0.5]",,,,,0.001053,,,,,,,,,,,,,,,,,,,detected by microlensing,,MOA-2009-BLG-266L,48:06.0,-35:00:19,,,,,,3040,,0.56,,,,
MOA-2009-BLG-319 b,0.157,49.9103,"[0.075, 0.138]",,,,,2,[0.4],,,,,0.000328,,,,,,,,,,,,,,,,,,,detected by microlensing,,MOA-2009-BLG-319,06:58.0,-26:49:11,,,,,,6100,,0.38,,K,,
MOA-2009-BLG-387L b,2.6,826.54,"[1.6, 4.1]",,,1970,"[1.6, 1.6]",1.8,"[0.7, 0.7]",,,,,0.000316,,,,,,,,,,,,,,,,,,,detected by microlensing,,MOA-2009-BLG-387L,53:51.0,-33:59:25,,,,,,5700,,0.19,,M,,
MOA-2010-BLG-328L b,0.029,9.2191,[0.007],,[],,[],0.92,[0.16],,[],,[],,,[],,[],,[],,[],,[],,[],,,,,,,detected by microlensing,,MOA-2010-BLG-328L,57:59.0,-30:42:55,,,,,,810,,0.11,,M,,
MOA-2010-BLG-477L b,1.5,476.85,"[0.3, 0.8]",,,,,2,"[1.0, 1.0]",,,,,0.00087,,,,,,,,,,,,,,,,,,,detected by microlensing,,MOA-2010-BLG-477L,06:07.0,-31:27:16,,,,,,2300,,0.67,,K,,
MOA-2011-BLG-293L b,4.8,1525.92,[0.3],,[],,[],1.1,[0.1],,[],,[],0.00014,,[],,[],,[],,[],,[],,[],,,,,,,detected by microlensing,,MOA-2011-BLG-293L,55:39.0,-28:28:37,,,,,,7700,,0.86,,,,
MOA-2011-BLG-322 b,7.8,2479.62,"[8.6, 4.3]",,[],,[],3.6,"[1.5, 1.3]",,[],,[],,,[],,[],,[],,[],,[],,[],,,,,,,detected by imaging,,MOA-2011-BLG-322,04:54.0,-27:13:15,,,,,,7740,,0.31,,,,
MOA-bin-1 b,3.7,1176.23,[2.1],,,,,8.3,[4.5],,,,,0.001627,,,,,,,,,,,,,,,,,,,detected by microlensing,,MOA-bin-1,51:10.0,-29:47:38,,23,,,,5100,,0.75,,,,
NGC 2423 3 b,10.6,3369.74,,,,714.3,[5.3],2.1,,0.21,[0.07],,,0.002742,18,[10.0],53213,[21.0],,,,,,,,,,,,,,,detected by radial velocity,,NGC 2423 3,37:09.0,-13:54:24,9.45,,,,,766,0.14,2.4,,,0.75,
NGC 4349 No 127 b,19.8,6294.42,,,,677.8,[6.2],2.38,,0.19,[0.07],,,0.001094,61,[19.0],54114,[34.0],,,,,,,,,,,,,,,detected by radial velocity,,NGC 4349 No 127,24:08.0,-61:52:18,7.4,,,,,2176,,3.9,,,0.21,
NN Ser (ab) c,6.91,2196.689,[0.54],,[],5660,[165.0],5.38,[0.2],0,[],,[],0.01076,,[],,[],,[],,[],,,,,,,,,,,pulsar,,NN Ser (ab),52:56.0,+12:54:47,16.6,,,,,500,,0.646,,WD+M,,
NN Ser (ab) d,2.28,724.812,[0.38],,[],2830,[130.0],3.39,[0.1],0.2,[0.02],,[],0.00678,74,[4.0],2454515,[],,[],,[],,,,,,,,,,,pulsar,,NN Ser (ab),52:56.0,+12:54:47,16.6,,,,,500,,0.646,,WD+M,,
NY Vir b,2.3,731.17,[0.3],,,2900,,3.3,,,,,,,,,,,,,,,,,,,,,,,,,pulsar,,NY Vir,38:48.0,-02:01:49,13.3,,,,,,,0.6,,B D,,33000
OGLE-05-071L b,3.5,1112.65,[0.3],,,3600,[0.0],3.6,[0.2],,,,,0.001091,,,,,,,,,,,,,,,,,,,detected by microlensing,,OGLE-05-071L,50:09.0,-34:40:23,,19.5,,,,3300,,0.46,,,,
OGLE-05-169L b,0.04,12.716,,,,3300,,2.8,,,,,,0.001037,,,,,,,,,,,,,,,,,,,detected by microlensing,,OGLE-05-169L,06:05.0,-30:43:57,,20.4,,,,2700,,0.49,,,,
OGLE-05-390L b,0.017,5.4043,,,,3500,,2.1,,,,,,0.000323,,,,,,,,,,,,,,,,,,,detected by microlensing,,OGLE-05-390L,54:19.0,-30:22:38,,15.7,,,,6500,,0.22,,M,,
OGLE-06-109L b,0.727,231.1133,[0.06],,,1790,[548.0],2.3,[0.5],,,64,"[7.0, 7.0]",0.001523,,,,,,,,,,,,,,,,,,,detected by microlensing,,OGLE-06-109L,52:35.0,-30:05:16,,,,17.17,,1510,,0.51,,,,
OGLE-06-109L c,0.271,86.1509,[0.022],,,4931,[1750.0],4.5,[1.0],0.15,[0.1],64,[8.0],0.00298,,,,,,,,,,,,,,,,,,,detected by microlensing,,OGLE-06-109L,52:35.0,-30:05:16,,,,17.17,,1510,,0.51,,,,
OGLE-2007-BLG-368L b,0.0694,22.06226,,,,,,3.3,"[8.8, 8.8]",,,,,0.000559,,,,,,,,,,,,,,,,,,,detected by microlensing,,OGLE-2007-BLG-368L,56:26.0,-32:14:15,,,,,,5900,,0.64,,,,
OGLE-2009-BLG-151_MOA-2009-232 b,7.5,2384.25,[0.3],,[],,[],0.31,[0.01],,[],,[],,,[],,[],,[],,[],,,,,,,,,,,detected by microlensing,,OGLE-2009-BLG-151_MOA-2009-232,54:22.0,-29:03:21,15.84,,,,,390,,0.018,,,,
OGLE-2011-BLG-0251 b,0.96,305.184,[0.14],,[],,[],3.86,[0.64],,[],,[],,,[],,[],,[],,[],,,,,,,,,,,detected by microlensing,,OGLE-2011-BLG-0251,00:00.0,+00:00:00,,,,,,4090,,0.47,,,,
OGLE-2011-BLG-0420 b,9.4,2988.26,[0.5],,[],,[],0.19,[0.01],,[],,[],,,[],,[],,[],,[],,,,,,,,,,,detected by microlensing,,OGLE-2011-BLG-0420,50:56.0,-29:49:30,14.7,,,,,1990,,0.025,,,,
OGLE-2012-BLG-0026L b,0.11,34.969,[0.002],,[],,[],3.82,[0.3],,[],,[],,,[],,[],,[],,[],,,,,,,,,,,detected by microlensing,,OGLE-2012-BLG-0026L,34:19.0,-27:08:34,,,,,,4080,,0.82,,,,
OGLE-2012-BLG-0026L c,0.68,216.172,[0.1],,[],,[],4.63,[0.37],,[],,[],,,[],,[],,[],,[],,,,,,,,,,,detected by microlensing,,OGLE-2012-BLG-0026L,34:19.0,-27:08:34,,,,,,4080,,0.82,,,,
OGLE-2012-BLG-0358L b,1.85,588.115,[0.19],,[],,[],0.87,[0.03],,[],,[],,,[],,[],,[],,[],,,,,,,,,,,detected by microlensing,,OGLE-2012-BLG-0358L,42:47.0,-24:15:40,,,,,,1760,,0.022,,,,
OGLE-2012-BLG-0406L b,2.73,867.867,[0.43],,[],,[],3.45,[0.26],,[],,[],,,[],,[],,[],,[],,[],,[],,,,,,,detected by microlensing,,OGLE-2012-BLG-0406L,53:18.0,-30:28:16,,,,,,4970,,0.44,,,,
OGLE-TR-10 b,0.68,216.172,[0.15],1.72,[0.11],3.10129,[1e-05],0.04162,[4e-05],0,,84.5,[0.6],2.80E-05,,,,,,,3890.678,[0.001],,,,,,,,,,,detected by transit,,OGLE-TR-10,51:28.0,-29:52:34,,14.93,,,,1500,0.28,1.18,1.16,G or K,1.1,6075
OGLE-TR-111 b,0.54,171.666,[0.1],1.077,[0.075],4.01451,[4.1e-06],0.047,[0.001],0,,88.1,[0.5],3.10E-05,,,,,,,3470.5676,[0.0005],,,,,,,,,,,detected by transit,,OGLE-TR-111,53:18.0,-61:24:20,,15.55,,,,1500,0.12,0.82,0.831,G or K,1.1,5070
OGLE-TR-113 b,1.24,394.196,[0.17],1.11,[0.05],1.4324772,[1.2e-06],0.0229,[0.0002],0,,89.4,[0.6],1.50E-05,,,,,,,3471.7782,[0.0005],,,,,,,,,,,detected by transit,,OGLE-TR-113,52:24.0,-61:26:48,,14.42,,,,1500,0.14,0.78,0.765,K,0.7,4752
OGLE-TR-132 b,1.17,371.943,[0.14],1.23,[0.07],1.689868,[3e-06],0.0306,[0.0008],0,,83.4,"[1.3, 1.3]",2.00E-05,,,,,,,2453142.591,[0.0003],,,,,,,,,,,detected by transit,,OGLE-TR-132,50:34.0,-61:57:25,,15.72,,,,1500,0.37,1.26,1.34,F,,6210
OGLE-TR-182 b,1.06,336.974,[0.15],1.47,[0.14],3.9791,[1e-05],0.051,[0.001],0,,85.7,[0.3],,,,,,,,2454270.572,[0.002],,,,,,,,,,,detected by transit,,OGLE-TR-182,09:19.0,-61:05:43,16.84,15.86,15.45,14.9,14.74,,0.37,1.14,1.14,,,5924
OGLE-TR-211 b,0.75,238.425,[0.15],1.26,"[0.09, 0.09]",3.67724,[3e-05],0.051,[0.001],0,,87.2,"[nan, inf]",,,,,,,,2453428.334,,,,,,,,,,,,detected by transit,,OGLE-TR-211,40:15.0,-62:27:20,,14.3,,,,,0.11,1.33,1.64,,,6325
OGLE-TR-56 b,1.3,413.27,[0.08],1.2,[0.17],1.211909,[1e-06],0.0225,[0.0004],0,,78.8,[0.5],1.50E-05,,,,,,,3936.598,[0.001],,,,,,,,,,,detected by transit,,OGLE-TR-56,56:35.0,-29:32:21,16.6,,,,,1500,,1.17,1.32,G,2,
OGLE2-TR-L9 b,4.34,1379.686,[1.48],1.614,[0.083],2.4855335,[7e-07],0.0308,[0.0005],,,79.8,[0.3],3.40E-05,,,,,,,2454492.798,,,,,,,,,,,,detected by transit,,OGLE2-TR-L9,07:55.0,-61:08:46,,13.97,13.51,13.25,13.12,900,-0.05,1.52,1.53,F3,0.66,6933
OGLE235-MOA53 b,2.6,826.54,[0.8],,,,,5.1,[1.6],,,,,0.000981,,,,,,,,,,,,,,,,,,,detected by microlensing,,OGLE235-MOA53,05:16.0,-28:53:42,,19.7,,,,5200,,0.63,,,,
Oph 11 b,21,6675.9,[3.0],,,730000,[365000.0],243,[55.0],,,,,1.675862,,,,,,,,,,,,,,,,,,,detected by imaging,,Oph 11,22:25.0,-24:05:14,,,,,14.03,145,,0.162,,M9,0.011,2375
PH1 b,0.53,168.487,"[0.0, 0.53]",0.553,[0.015],138.506,[0.1],0.634,[0.011],0.0539,[0.0081],90,[0.07],,348,"[6.7, 5.0]",,[],,[],245517.71,[0.11],,[],,[],,,,,,,detected by transit,,KIC 4862625(AB),52:52.0,+39:57:18,,,,,,,,1.93,1.7,F+M,,
POTS-1 b,2.31,734.349,[0.77],0.941,"[0.036, 0.047]",1.606296,[1.57e-06],0.03734,[0.0009],,[],88.06,"[0.47, 0.34]",,,[],,[],,[],,[],,[],,[],,,,,,,detected by transit,,POTS-1,34:26.0,-66:34:52,17.94,,,,,,-0.03,0.695,,K5,,4400
PSR 1257 12 b,7.00E-05,0.022253,[],,[],25.262,[0.003],0.19,[],0,[],,[],0.00038,0,[],2449765.1,[0.3],,[],,[],,,,,49765.1,[0.2],,,,,pulsar,,PSR 1257 12,00:04.0,+12:40:56,,,,,,710,,,,,1,
PSR 1257 12 c,0.013,4.1327,[],,[],66.5419,[0.0001],0.36,[],0.0186,[0.0002],53,[4.0],0.00072,250.4,[6.0],2449768.1,[0.1],,[],,[],,,,,49768.1,[0.1],,,,,pulsar,,PSR 1257 12,00:04.0,+12:40:56,,,,,,710,,,,,1,
PSR 1257 12 d,0.012,3.8148,[0.0006],,[],98.2114,[0.0002],0.46,[],0.0252,[0.0002],47,[3.0],0.00092,108.3,[5.0],2449765.5,[0.1],,[],,[],,,,,49766.5,[0.1],,,,,pulsar,,PSR 1257 12,00:04.0,+12:40:56,,,,,,710,,,,,1,
PSR 1719-14 b,1,317.9,[0.0],0.4,[0.0],0.090706293,[],0.0044,[],0.06,"[inf, nan]",,[],,,,2455235.517,[],,[],,[],,,,,,,,,,,pulsar,,PSR 1719-14,19:10.0,-14:38:01,,,,,,1200,,1.4,,,12.5,
PSR B1620-26 b,2.5,794.75,[1.0],,[],36525,[0.0],23,[0.0],,[],,[],0.006053,,[],,[],,[],,[],,,,,,,,,,,pulsar,,PSR B1620-26,23:38.0,-26:31:53,24,,,,,3800,,1.95,,,,
Pr0201 c,0.54,171.666,[0.039],,[],4.4264,[0.007],,[],,[],,[],,,[],2455992.861,[0.053],,[],,[],,,,,,,,,,,detected by radial velocity,,Pr0201,41:44.0,+20:13:37,10.33,,,,,,0.187,1.234,1.167,F7,0.578,6174
Pr0211 b,1.844,586.2076,[0.064],,[],2.1451,[0.0012],,[],,[],,[],,,[],2456013.989,[0.0072],,[],,[],,,,,,,,,,,detected by radial velocity,,Pr0211,42:11.0,+19:16:37,,,,,,,0.187,0.952,0.868,,0.578,5326
Qatar-1 b,1.09,346.511,[0.084],1.164,[0.045],1.4200246,[7e-07],0.02343,[0.00026],0,[],84.52,[0.24],,,[],,[],,[],2456157.422,[0.0001],,[],,[],,,,,,,detected by transit,,Qatar-1,13:32.0,+65:09:43,12.84,,,,,,0.2,0.85,0.823,K,4,4861
Qatar-2 b,2.487,790.6173,[0.086],1.144,[0.035],1.3371182,[3.7e-06],0.02149,[0.00036],0,,88.3,[0.94],,,,,,,,2455624.267,[0.00011],,,,,,,,,,,detected by transit,,Qatar-2,50:37.0,-06:48:14,13.3,,,,,,0,0.74,0.713,K,,4645
RR Cae b,4.2,1335.18,[0.4],,,4350,[37.0],5.3,[0.6],0,,,,,,,,,,,,,,,,,,,,,,,pulsar,,RR Cae,21:06.0,-48:39:07,14.4,,,,,,,0.622,,DAZ8+dM,,
Ross 458(AB) c,8.5,2702.15,[2.5],,,,,1168,,,,,,10.245614,,,,,,,,,,,,,,,,,,,detected by imaging,,Ross 458(AB),00:47.0,+12:22:33,9.76,,,,,114,,0.6,,M2V,0.475,
